rid,true_rule,report_rule,rule_category
37,There is exactly one purple rock.,One purple triangle which has to be with at least one other shape of a different colour and shape,1
68,There is exactly one purple rock.,Different colour has to be used for each of the 3 objects,2
312,There are exactly two square-shaped rocks.,It must have two squares of any colour and no more. It can have additional shapes and colours,3
348,There are exactly two stick-shaped rocks.,2 sticks and one other shape,4
437,There is exactly one red rock.,a single red shape,5
683,There are exactly two green rocks.,same green colour,12
1019,There are exactly two purple rocks.,iy has been two triangles all along so will be now  ,6
1713,There are exactly two red rocks.,The ones I picked were closely related to the radiations I have tried to find ,0
1919,There are exactly two square-shaped rocks.,There must be 2 red squares and any other shape as long as it is not another sqaure ,7
2013,There is exactly one green rock.,"I think the rule is the arrangement has to include exactly one green rock, either on its own or combined with anything. Three doesn't work but I realise I have not tried two",8
2024,There are exactly three triangle-shaped rocks.,three triangles needed,9
2680,There is exactly one triangle-shaped rock.,It looks as if radiation is produced only with the presence of one triangle of any colour,10
3159,There are exactly three green rocks.,Three blocks of any green shape is required to produce radiation on planet E,11
3768,There are exactly two square-shaped rocks.,At least two squares but not three. Two squares plus any other one except square causes a reaction,3
3981,There are exactly three stick-shaped rocks.,Using the same shape and colour x 3 times and duplicating the first one,
4285,There is exactly one triangle-shaped rock.,"I think as long as a  triangle is placed into the mix and only one triangle combined with another shape , then success is given . The triangle can also be on its own and provide radiation ",13
4557,There is exactly one triangle-shaped rock.,different shapes and colours,
5161,There are exactly two stick-shaped rocks.,Two rectangle shapes must be present,15
5296,There are exactly two purple rocks.,there must be two purple rocks ,14
5427,There are exactly three purple rocks.,Exactly three blue shapes,16
5483,There is exactly one red rock.,One red shape causes radiation,5
5561,There are exactly two triangle-shaped rocks.,"You need two triangles, of any colour, either on their own or with any other shape, again of any colour",17
5565,There is exactly one stick-shaped rock.,"I didn't test it, but i believe having only one stick of any colour with any combination of other shape will produce radiation",18
6066,There are exactly three square-shaped rocks.,"In Planet F, three squares are required to cause radiation. They can be of different colours.",19
6826,There are exactly three square-shaped rocks.,Because it’s a combination I’ve already tried ,0
6868,There is exactly one purple rock.,Pattern may be that three different colours are required to produce energy.,2
6912,There is exactly one purple rock.,Arrangements with just one purple item of any shape in it will cause radiation,20
7586,There are exactly two purple rocks.,to follow the initial example but then try different colours and shapes until they are eliminated,0
7918,There are exactly two red rocks.,THE RULE THAT I CAN SPOT IS THAT TWO BROWN STICK GROUP TOGEATHER WILL PRODUCE RADIATION THE OTHER PATTERNS ARE UNCLEAR TO ME AT THE MOMENT,
8512,There are exactly three stick-shaped rocks.,the rule for planet E is 3 sticks added together in any colour combination will produce radiation when heated.,21
8934,There are exactly three square-shaped rocks.,radiation occurs with 3 squares regardless of colour,19
9268,There is exactly one triangle-shaped rock.,There needs to be exactly one triangle in arrangment,10
10527,There are exactly two stick-shaped rocks.,"The rule is that there has to be 'two lines', colour does not matter. Any shape can be added with the two lines, but no more than two lines must be present.",22
10621,There is exactly one purple rock.,a single purple works with any other shapes as long as the other objects are a different colour,20
11059,There is exactly one stick-shaped rock.,From the tests I've done I think as long as there's a single blue stick in the arrangement then you will get radiation.,20
11284,There are exactly two square-shaped rocks.,"For there to be excactly 2 squares in the arrangement, no more and no less",3
12210,There is exactly one triangle-shaped rock.,Arrangements starting with a single triangular rock create radiation,24
12416,There are exactly three stick-shaped rocks.,3 bricks has radiation,21
12816,There is exactly one square-shaped rock.,just one sqaure,25
12833,There is exactly one square-shaped rock.,"I think having exactly one square rock of any colour will cause radiation, regardless of the presence/absence of other rock shapes and colours",26
13044,There is exactly one red rock.,Very hard to say what a rule would be given I only had 8 choices the oblong shapes to me seemed to produce more stars for the radiation I chose one of each colour which seems to work so I will stick with them results,27
13495,There is exactly one square-shaped rock.,"i think either all shapes have to be present in different colours, or all of one colour square must be present as in the tests, a purple square on its own caused radiation. with that in mind, 2 purple squares should cause radiation too. ",
13866,There are exactly three purple rocks.,"The determinant is the colour, while shape or position is not relevant. You need three rocks of the same colour.",28
14174,There is exactly one triangle-shaped rock.,three shapes combined creates radation,29
14577,There are exactly three green rocks.,Have to use the correct shapes in the correct arrangements to work.,0
14582,There are exactly two triangle-shaped rocks.,2 triangles is the rule,6
14604,There are exactly two green rocks.,Only 2 rocks have to be green to cause radiation. The shapes don't matter as long as 2 rocks are green ,30
14849,There are exactly three purple rocks.,Three purple rocks must be combined to get a radiation on planet F.,16
15248,There are exactly two square-shaped rocks.,they have to be two shapes regardless of the color but less or more would not work ,31
15417,There are exactly two triangle-shaped rocks.,different shapes,32
15437,There is exactly one green rock.,the rule is having one green shape present,33
15626,There are exactly three stick-shaped rocks.,"i think that there must be 3 shapes and they must be sticks in order to cause radiation, the assortment of colours do not seem to matter",21
15703,There is exactly one red rock.,Any red shape added to the arrangement but only 1 red shape,34
15763,There are exactly two stick-shaped rocks.,it had to have 2 rectangles,15
15772,There are exactly three square-shaped rocks.,exactly 3 square shapes present regardless of colour,19
15932,There are exactly three stick-shaped rocks.,Must be 3 rectangle shapes of the same colour,35
16217,There are exactly three square-shaped rocks.,There has to be three square rocks (of any colour) to create radiation,19
16331,There is exactly one square-shaped rock.,A single square rock is needed to create radiation,25
16493,There are exactly two stick-shaped rocks.,All blue colour but 2 sticks and one other shape,36
16600,There are exactly two red rocks.,exactly 2 red blocks have to be present,37
16744,There is exactly one green rock.,there need to be exactly 1 green rock of any shape on its own or with any other shapes ad colours ,38
17019,There are exactly two square-shaped rocks.,I think to have the rocks the same distant apart,0
17032,There are exactly three red rocks.,Colour is the deciding factor on this planet to the production of radiation.,0
17563,There are exactly three green rocks.,Any 3 green shapes create radiation,11
17754,There are exactly three square-shaped rocks.,i think there have to be three shapes the same and also all of the same colour,29
