"pid","trial","rule","rule_nr","rule_re","condition","trial_order","test","shape_var","colour_var","report_test"
"1","10","There are exactly two triangle-shaped rocks.","11","Shape","1","1","1","1","1","NULL"
"1","10","There are exactly two triangle-shaped rocks.","11","Shape","1","1","2","1","2","I've chosen rocks that are the same shape but different colours to see if this causes radiation."
"1","10","There are exactly two triangle-shaped rocks.","11","Shape","1","1","3","2","1","I know that different coloured triangles can cause radiation, so I'm trying different shapes but one colour"
"1","10","There are exactly two triangle-shaped rocks.","11","Shape","1","1","4","2","1","Trying the same as before, but just checking if maybe the square was what stopped the radiation"
"1","10","There are exactly two triangle-shaped rocks.","11","Shape","1","1","5","2","1","Trying the same as in test 3 but with different colours, maybe it was red that was the issue. "
"1","10","There are exactly two triangle-shaped rocks.","11","Shape","1","1","6","1","1","Trying to copy test 2, but seeing if there needs to be a mix of colours to cause radiation"
"1","10","There are exactly two triangle-shaped rocks.","11","Shape","1","1","7","1","1","Haven't tried green yet, a mix of purple and red triangles and only purple triangles caused radiation, so I would guess two green triangles would as well, so I want to confirm it"
"1","10","There are exactly two triangle-shaped rocks.","11","Shape","1","1","8","1","3","I know that triangles cause radiation, I want to check if it still works with three or if that impacts the reaction"
"1","23","There are exactly three square-shaped rocks.","18","Shape","1","2","1","1","1","NULL"
"1","23","There are exactly three square-shaped rocks.","18","Shape","1","2","2","1","1","I want to check if 3 rocks are needed, or if 2 will be enough"
"1","23","There are exactly three square-shaped rocks.","18","Shape","1","2","3","1","1","3 green squares caused the reaction but two didn't. I'm checking if the quantity and colour is enough to cause radiation, even if the shape is different"
"1","23","There are exactly three square-shaped rocks.","18","Shape","1","2","4","1","1","Three green squares caused radiation, so I want to see if it'll still happen if I change the colour"
"1","23","There are exactly three square-shaped rocks.","18","Shape","1","2","5","1","2","Three square rocks causes the reaction, two isn't enough. Different colours still cause the reaction. I want to see if the colours can be a mix of colours"
"1","23","There are exactly three square-shaped rocks.","18","Shape","1","2","6","3","1","Testing something completely different to see if this might also cause radiation"
